# TYPO3 changelog index — GENERATED, do not edit by hand.
# grep-only: never read this file as a whole.
# source: local:14.3.x
# columns: number	type	version	title	tags	symbols	migration-gist	note	source	path
# note column: 'note' means notes/{number}.md exists and takes precedence.
17406	Breaking	14.0	Field "url" in table "pages" has been removed	TCA NotScanned ext:core		The upgrade wizard **"Migrate links of pages of type link"** automatically migrates pages of the former type *External URL* to the new page type *Link*.	-	local:14.3.x	14.0/Breaking-17406-FieldUrlInTablePagesHasBeenRemoved.rst
17406	Feature	14.0	Enhance page type "Link" to fully support typolinks	ext:core		Editors and integrators can now use the updated page type "Link" to create menus that contain any link type supported by typolink - including section links for anchor-based navigation, email addresses…	-	local:14.3.x	14.0/Feature-17406-EnhancePageTypeLinkToFullySupportTypolinks.rst
33747	Breaking	14.0	Remove non-implemented sortable Collection logic	PHP-API FullyScanned	SortableCollectionInterface usort($callbackFunction) moveItemAt($currentPosition, $newPosition = 0) usort() uasort() uksort()	Remove any references to SortableCollectionInterface from your code.	-	local:14.3.x	14.0/Breaking-33747-RemoveNonImplementedSortableCollectionLogic.rst
68303	Breaking	14.0	Make tt_content imagewidth/imageheight nullable	Backend Frontend NotScanned ext:frontend		Use the "Media fields zero to null" upgrade wizard to update existing field values. Also, modify your queries to handle `null` values instead of `0`.	-	local:14.3.x	14.0/Breaking-68303-MakeTt_contentImagewidthimageheightNullable.rst
92434	Breaking	14.0	Use Record API in Page Module Preview Rendering	Backend PHP-API Fluid NotScanned ext:backend	StandardContentPreviewRenderer StandardContentPreviewRenderer->linkEditContent() RecordInterface $record PageContentPreviewRenderingEvent PageContentPreviewRenderingEvent->getRecord() PageContentPreviewRenderingEvent->setRecord() GridColumnItem GridColumnItem->getRecord() GridColumnItem->setRecord() GridColumnItem->getRow() FlexFormFieldValues linkEditContent() getRecord() {record}	For custom preview renderers extending StandardContentPreviewRenderer: Update the method signature of linkEditContent() to accept a RecordInterface object:	-	local:14.3.x	14.0/Breaking-92434-UseRecordAPIInPageModulePreviewRendering.rst
92760	Feature	14.0	Configurable timezone for DateViewHelper	Fluid ext:fluid	DateViewHelper	Using the new timezone option, it is now possible to set a specific time zone for the DateViewHelper.	-	local:14.3.x	14.0/Feature-92760-ConfigurableTimezoneForDateViewHelper.rst
93334	Feature	14.0	Translation Domain Mapping	PHP-API Localization ext:core	LanguageService BeforeLabelResourceResolvedEvent $packageKey $domains array<string, string> TranslationDomainMapper LabelFileResolver LocalizationFactory	Translation domains provide a shorter, more readable alternative to file-based label references. The implementation uses deterministic file-system scanning with per-package caching to reduce lookups.	-	local:14.3.x	14.0/Feature-93334-TranslationDomainMapping.rst
93981	Deprecation	14.0	GraphicalFunctions->gif_or_jpg	TCA FullyScanned ext:core	gif_or_jpg() GraphicalFunctions GraphicalFunctions->determineDefaultProcessingFileExtension() 'pdf' @internal GraphicalFunctions->gif_or_jpg() GraphicalFunctions->resize() $targetFileExtension = 'web'	Calling this method will trigger a deprecation-level log entry and will stop working in TYPO3 v15.0.	-	local:14.3.x	14.0/Deprecation-93981-GraphicalFunctionsGifOrJpg.rst
93981	Feature	14.0	Specify default image conversion processing	Frontend ext:core ext:frontend	$GLOBALS['TYPO3_CONF_VARS']['GFX']['imageFileConversionFormats'] $GLOBALS['TYPO3_CONF_VARS']['GFX']['imagefile_ext'] $GLOBALS['TYPO3_CONF_VARS']['SYS']['textfile_ext'] $GLOBALS['TYPO3_CONF_VARS']['SYS']['mediafile_ext'] imagefile_ext 'heic' => 'heic' 'default' => 'heic'	TYPO3 is now more future-proof regarding new image formats and allows modern file formats to be used by configuration.	-	local:14.3.x	14.0/Feature-93981-SpecifyDefaultImageConversionProcessingFormat.rst
97151	Breaking	14.0	Remove "Database Relations" backend module	Backend NotScanned ext:lowlevel		There is no migration available.	-	local:14.3.x	14.0/Breaking-97151-RemoveDatabaseRelationsBackendModule.rst
97559	Deprecation	14.0	Deprecate passing an array of configuration values to Extbase attributes	PHP-API NotScanned ext:extbase		Use the available attribute properties instead of an array.	-	local:14.3.x	14.0/Deprecation-97559-DeprecatePassingAnArrayOfConfigurationValuesToExtbaseAttributes.rst
97559	Feature	14.0	Support property-based configuration for Extbase attributes	PHP-API ext:extbase		This patch serves as a follow-up to 107229 and aims to improve the attribute configuration mechanism by using constructor property promotion in combination with strictly typed properties.	-	local:14.3.x	14.0/Feature-97559-UsePropertiesForConfigurationOfExtbaseAttributes.rst
97857	Deprecation	14.0	Deprecate __inheritances operator in form configuration	Backend ext:form NotScanned	E_USER_DEPRECATED	The custom TYPO3 implementation using __inheritances can be replaced with standard YAML syntax. Developers can achieve the same result by using anchors (&), aliases (*), and overrides (<<:). Before:	-	local:14.3.x	14.0/Deprecation-97857-DeprecateFormInheritances.rst
98070	Breaking	14.0	Remove eval method year	Backend TCA NotScanned ext:backend		Remove the `year` eval setting from your TCA configuration and use a TCA field type that better suits your needs.	-	local:14.3.x	14.0/Breaking-98070-RemoveEvalMethodYear.rst
98239	Breaking	14.0	Removed "afterBuildingFinished" hook	Backend ext:form FullyScanned	$GLOBALS['TYPO3_CONF_VARS']['SC_OPTIONS']['ext/form']['afterBuildingFinished'] BeforeRenderableIsAddedToFormEvent AfterFormIsBuiltEvent	The hook has been removed without a deprecation phase to allow extensions to remain compatible with both TYPO3 v13 (using the hook) and v14+ (using the new events).	-	local:14.3.x	14.0/Breaking-98239-RemovedAfterBuildingFinishedHook.rst
98239	Feature	14.0	PSR-14 Event to modify form after being built	Backend ext:form	AfterFormIsBuiltEvent $GLOBALS['TYPO3_CONF_VARS']['SC_OPTIONS']['ext/form']['afterBuildingFinished'] $form	With the new AfterFormIsBuiltEvent, it is now possible to modify the form definition after it has been built.	-	local:14.3.x	14.0/Feature-98239-IntroducePSR14AfterFormIsBuiltEvent.rst
98453	Deprecation	14.0	Scheduler task registration via SC_OPTIONS	PHP-API NotScanned ext:scheduler	$GLOBALS['TYPO3_CONF_VARS']['SC_OPTIONS']['scheduler']['tasks'] AdditionalFieldProviderInterface AbstractAdditionalFieldProvider getAdditionalFields() validateAdditionalFields() saveAdditionalFields() AdditionalFieldProvider getTaskParameters() setTaskParameters() AbstractTask $this->myField = $parameters['oldName'] ?? $parameters['new_tca_field_name'] ?? ''; SystemStatusUpdateTask	Scheduler tasks should now be registered as native task types using TCA. This provides a more integrated and maintainable approach to task configuration. Migration steps: 1.	-	local:14.3.x	14.0/Deprecation-98453-SchedulerTaskRegistrationViaSCOPTIONS.rst
99065	Feature	14.0	Detail view for backend user groups in 'Users' module	Backend ext:beuser		TYPO3 administrators can now efficiently analyze backend user group configurations without manually tracing through complex inheritance structures.	-	local:14.3.x	14.0/Feature-99065-NewDetailViewForBackendUserGroupInBeUsersModule.rst
